iter	Passed	Remaining
413	3322	4703
414	3329	4692
415	3335	4682
416	3343	4674
417	3349	4664
418	3357	4654
419	3363	4645
420	3370	4635
421	3377	4626
422	3384	4616
423	3392	4608
424	3401	4601
425	3409	4593
426	3417	4585
427	3424	4576
428	3430	4566
429	3438	4557
430	3444	4547
431	3452	4539
432	3458	4529
433	3466	4520
434	3473	4511
435	3479	4501
436	3488	4494
437	3494	4484
438	3501	4474
439	3509	4466
440	3516	4457
441	3523	4448
442	3530	4439
443	3538	4431
444	3545	4422
445	3554	4414
446	3560	4405
447	3569	4397
448	3575	4388
449	3582	4378
450	3590	4370
451	3597	4361
452	3605	4353
453	3611	4343
454	3618	4334
455	3625	4325
456	3632	4316
457	3640	4308
458	3647	4299
459	3654	4290
460	3661	4281
461	3668	4272
462	3675	4262
463	3682	4254
464	3690	4245
465	3696	4236
466	3703	4226
467	3710	4218
468	3717	4209
469	3724	4199
470	3732	4192
471	3739	4183
472	3746	4174
473	3753	4165
474	3760	4156
475	3768	4148
476	3775	4139
477	3782	4130
478	3788	4120
479	3796	4112
480	3803	4103
481	3810	4095
482	3817	4085
483	3824	4077
484	3831	4068
485	3838	4059
486	3846	4051
487	3853	4042
488	3860	4034
489	3867	4025
490	3876	4018
491	3883	4010
492	3891	4001
493	3898	3993
494	3905	3984
495	3913	3976
496	3920	3967
497	3929	3960
498	3936	3951
499	3944	3944
500	3952	3936
501	3960	3928
502	3966	3919
503	3974	3911
504	3981	3902
505	3988	3894
506	3996	3885
507	4003	3877
508	4013	3871
509	4020	3863
510	4028	3855
511	4035	3846
512	4042	3837
513	4050	3829
514	4058	3822
515	4066	3814
516	4075	3807
517	4082	3798
518	4090	3791
519	4097	3782
520	4107	3776
521	4113	3767
522	4120	3758
523	4127	3749
524	4136	3742
525	4142	3733
526	4149	3724
527	4158	3717
528	4165	3709
529	4173	3700
530	4180	3692
531	4188	3684
532	4195	3676
533	4203	3668
534	4210	3659
535	4218	3651
536	4225	3643
537	4233	3635
538	4239	3626
539	4246	3617
540	4255	3610
541	4262	3602
542	4270	3594
543	4276	3585
544	4284	3577
545	4291	3568
546	4299	3560
547	4306	3552
548	4313	3543
549	4320	3535
550	4327	3526
551	4334	3518
552	4341	3509
553	4348	3500
554	4355	3492
555	4363	3484
556	4370	3475
557	4376	3467
558	4383	3458
559	4390	3449
560	4397	3441
561	4405	3433
562	4413	3425
563	4420	3417
564	4426	3408
565	4433	3399
566	4440	3391
567	4448	3383
568	4455	3374
569	4462	3366
570	4469	3358
571	4476	3349
572	4483	3341
573	4490	3332
574	4498	3325
575	4505	3316
576	4512	3308
577	4519	3299
578	4525	3290
579	4532	3282
580	4539	3273
581	4547	3265
582	4553	3257
583	4560	3248
584	4566	3239
585	4572	3230
586	4579	3222
587	4586	3213
588	4594	3205
589	4600	3197
590	4608	3189
591	4615	3180
592	4622	3172
593	4629	3164
594	4636	3155
595	4642	3147
596	4649	3138
597	4657	3130
598	4663	3122
599	4671	3114
600	4678	3106
601	4686	3098
602	4692	3089
603	4699	3081
604	4707	3073
605	4714	3065
606	4722	3057
607	4728	3048
608	4735	3040
609	4743	3032
610	4750	3024
611	4756	3015
612	4763	3007
613	4771	2999
614	4777	2991
615	4784	2982
616	4792	2974
617	4798	2966
618	4806	2958
619	4813	2950
620	4821	2942
621	4827	2933
622	4835	2926
623	4842	2917
624	4848	2909
625	4856	2901
626	4863	2893
627	4870	2885
628	4877	2876
629	4885	2869
630	4892	2861
631	4900	2853
632	4906	2844
633	4913	2836
634	4920	2828
635	4927	2820
636	4935	2812
637	4941	2804
638	4949	2796
639	4956	2788
640	4963	2779
641	4970	2771
642	4977	2763
643	4985	2755
644	4991	2747
645	4998	2739
646	5005	2731
647	5012	2722
648	5019	2714
649	5026	2706
650	5034	2699
651	5041	2690
652	5048	2682
653	5054	2674
654	5061	2666
655	5069	2658
656	5076	2650
657	5083	2642
658	5090	2633
659	5098	2626
660	5105	2618
661	5112	2610
662	5119	2602
663	5126	2594
664	5134	2586
665	5141	2578
666	5149	2570
667	5155	2562
668	5164	2554
669	5171	2547
670	5179	2539
671	5187	2531
672	5195	2524
673	5201	2516
674	5208	2507
675	5216	2499
676	5222	2491
677	5230	2484
678	5236	2475
679	5244	2467
680	5250	2459
681	5258	2451
682	5264	2443
683	5271	2435
684	5278	2427
685	5285	2419
686	5292	2411
687	5299	2403
688	5305	2394
689	5314	2387
690	5320	2379
691	5329	2371
