,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,1.0665153741836548,0.31615606605281277,0.10338053703308106,0.0007093652658628993,entropy,16,50,"{'criterion': 'entropy', 'max_depth': 16, 'n_estimators': 50}",0.8569172457359444,0.8616550852811118,0.8600758054327227,0.8572331017056223,0.8626026531901453,0.8569172457359444,0.8571879936808847,0.869826224328594,0.8631911532385466,0.8571428571428571,0.8602748380982467,0.003977668889716656,57
1,1.2391626834869385,0.03603054300423395,0.10355281829833984,0.00039174185194434014,entropy,16,75,"{'criterion': 'entropy', 'max_depth': 16, 'n_estimators': 75}",0.8600758054327227,0.8632343651295009,0.8600758054327227,0.8569172457359444,0.8607075173720783,0.8588123815540114,0.8587677725118483,0.8701421800947867,0.865086887835703,0.8574589127686473,0.8611277839203917,0.0038192095217701905,30
2,1.6476380109786988,0.020956449000639962,0.1046147108078003,0.002990555365984846,entropy,16,100,"{'criterion': 'entropy', 'max_depth': 16, 'n_estimators': 100}",0.8591282375236892,0.8635502210991788,0.859444093493367,0.8588123815540114,0.8641819330385344,0.8581806696146557,0.8597156398104265,0.8688783570300158,0.8635071090047394,0.859039190897598,0.8614436897804454,0.0032735227265931416,21
3,2.04665629863739,0.0511457522722291,0.10377225875854493,0.0011875593152437874,entropy,16,125,"{'criterion': 'entropy', 'max_depth': 16, 'n_estimators': 125}",0.8584965255843335,0.8635502210991788,0.8616550852811118,0.8584965255843335,0.8641819330385344,0.859444093493367,0.8593996840442338,0.869826224328594,0.865086887835703,0.8577749683944375,0.8617911862265045,0.003651093365567115,7
4,2.4362727642059325,0.031188758227639723,0.10324256420135498,0.000415360967782375,entropy,16,150,"{'criterion': 'entropy', 'max_depth': 16, 'n_estimators': 150}",0.8572331017056223,0.8632343651295009,0.8603916614024005,0.8588123815540114,0.8638660770688567,0.8578648136449779,0.8597156398104265,0.869826224328594,0.8641390205371248,0.8606194690265486,0.8615700521244669,0.003587121857275851,16
5,2.799612021446228,0.052556166772120126,0.10380761623382569,0.001591317064779542,entropy,16,175,"{'criterion': 'entropy', 'max_depth': 16, 'n_estimators': 175}",0.8584965255843335,0.8632343651295009,0.8610233733417562,0.8581806696146557,0.8638660770688567,0.8575489576753,0.859083728278041,0.8688783570300158,0.8635071090047394,0.8599873577749684,0.8613805086084347,0.0033306329945198485,25
6,0.8814392328262329,0.025822856326192786,0.1040888786315918,0.0009956994210055096,entropy,17,50,"{'criterion': 'entropy', 'max_depth': 17, 'n_estimators': 50}",0.8581806696146557,0.8654453569172458,0.8629185091598232,0.8537586860391662,0.8603916614024005,0.8603916614024005,0.8587677725118483,0.8701421800947867,0.8619273301737757,0.8584070796460177,0.8610330121623756,0.004250857582034207,34
7,1.2871315002441406,0.040275799358765296,0.10308043956756592,0.0005252849589276828,entropy,17,75,"{'criterion': 'entropy', 'max_depth': 17, 'n_estimators': 75}",0.8556538218572332,0.866708780795957,0.8610233733417562,0.8553379658875553,0.8616550852811118,0.8622867972204674,0.8584518167456556,0.869826224328594,0.8612954186413903,0.8577749683944375,0.8610014215763703,0.0043611500382120996,37
8,1.6748006820678711,0.021808222355238972,0.10341939926147461,0.0005706229722946415,entropy,17,100,"{'criterion': 'entropy', 'max_depth': 17, 'n_estimators': 100}",0.8556538218572332,0.8657612128869235,0.8651295009475679,0.8550221099178774,0.8651295009475679,0.8607075173720783,0.859083728278041,0.8704581358609794,0.8600315955766192,0.8574589127686473,0.8614436897804454,0.004751971299447632,21
9,2.0820891857147217,0.046963660135901496,0.10351462364196777,0.0005326218207770752,entropy,17,125,"{'criterion': 'entropy', 'max_depth': 17, 'n_estimators': 125}",0.8566013897662665,0.8673404927353127,0.8651295009475679,0.8543903979785218,0.86481364497789,0.8616550852811118,0.8597156398104265,0.8707740916271722,0.860347551342812,0.856826801517067,0.8617595956404991,0.004944833915891496,10
10,2.50565083026886,0.040362632128646735,0.10353221893310546,0.0006307420733034915,entropy,17,150,"{'criterion': 'entropy', 'max_depth': 17, 'n_estimators': 150}",0.8556538218572332,0.8676563487049905,0.8644977890082123,0.8547062539481997,0.8635502210991788,0.8588123815540114,0.860347551342812,0.8704581358609794,0.861611374407583,0.8574589127686473,0.8614752803664508,0.0048637551537129555,19
11,2.8653456926345826,0.03981740944681855,0.10288684368133545,0.0002839054973447974,entropy,17,175,"{'criterion': 'entropy', 'max_depth': 17, 'n_estimators': 175}",0.8553379658875553,0.866708780795957,0.8644977890082123,0.8537586860391662,0.8632343651295009,0.8591282375236892,0.861611374407583,0.8701421800947867,0.8631911532385466,0.8571428571428571,0.8614752803664508,0.004890701084243396,19
12,0.909497857093811,0.023691667815655404,0.10370597839355469,0.0011533914082957244,entropy,18,50,"{'criterion': 'entropy', 'max_depth': 18, 'n_estimators': 50}",0.8597599494630449,0.8663929248262792,0.8588123815540114,0.8584965255843335,0.8676563487049905,0.8566013897662665,0.8571879936808847,0.8688783570300158,0.8622432859399684,0.8580910240202275,0.8614120991944401,0.004361639616535319,24
